Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年2月4週,250204,TSE Prime,投資信託,7375043.0,7.375043
2025年2月4週,250204,TSE Prime,証券会社,20173100.0,20.1731
2025年2月4週,250204,TSE Prime,海外投資家,-607714080.0,-607.71408
2025年2月4週,250204,TSE Prime,個　人,518027006.0,518.027006
2025年2月4週,250204,TSE Prime,法　人,160200700.0,160.2007
2025年2月4週,250204,TSE Prime,自己計,-107949554.0,-107.949554
2025年2月4週,250204,TSE Prime,事業法人,148653194.0,148.653194
2025年2月4週,250204,TSE Standard,投資信託,-905647.0,-0.905647
2025年2月4週,250204,TSE Standard,証券会社,-556161.0,-0.556161
2025年2月4週,250204,TSE Standard,海外投資家,3679998.0,3.679998
2025年2月4週,250204,TSE Standard,個　人,-2222636.0,-2.222636
2025年2月4週,250204,TSE Standard,法　人,-3620019.0,-3.620019
2025年2月4週,250204,TSE Standard,事業法人,7284351.0,7.284351
2025年3月1週,250301,TSE Growth,海外投資家,-14699419.0,-14.699419
2025年3月1週,250301,TSE Growth,個　人,17343445.0,17.343445
2025年3月1週,250301,TSE Growth,法　人,-1044567.0,-1.044567
2025年3月1週,250301,TSE Growth,自己計,-3288129.0,-3.288129
2025年3月1週,250301,Tokyo & Nagoya,事業法人,203759107.0,203.759107
2025年3月1週,250301,Tokyo & Nagoya,海外投資家,-101580863.0,-101.580863
2025年3月1週,250301,Tokyo & Nagoya,証券会社,-3789144.0,-3.789144
2025年3月1週,250301,Tokyo & Nagoya,個　人,-431929122.0,-431.929122
2025年3月1週,250301,Tokyo & Nagoya,法　人,830842591.0,830.842591
2025年3月1週,250301,Tokyo & Nagoya,自己計,-286242032.0,-286.242032
2025年3月1週,250301,TSE Growth,証券会社,429305.0,0.429305
2025年3月1週,250301,Tokyo & Nagoya,投資信託,257369999.0,257.369999
2025年3月1週,250301,TSE Growth,投資信託,-753211.0,-0.753211
2025年3月1週,250301,TSE Growth,事業法人,1878721.0,1.878721
2025年3月1週,250301,TSE Standard,自己計,-2229235.0,-2.229235
2025年3月1週,250301,TSE Prime,投資信託,261165227.0,261.165227
2025年3月1週,250301,TSE Prime,証券会社,-4989287.0,-4.989287
2025年3月1週,250301,TSE Prime,海外投資家,-73953965.0,-73.953965
2025年3月1週,250301,TSE Prime,個　人,-464321958.0,-464.321958
2025年3月1週,250301,TSE Prime,法　人,834835070.0,834.83507
2025年3月1週,250301,TSE Prime,自己計,-280734877.0,-280.734877
2025年3月1週,250301,TSE Prime,事業法人,200208926.0,200.208926
2025年3月1週,250301,TSE Standard,投資信託,-3048211.0,-3.048211
2025年3月1週,250301,TSE Standard,証券会社,779515.0,0.779515
2025年3月1週,250301,TSE Standard,海外投資家,-13149639.0,-13.149639
2025年3月1週,250301,TSE Standard,個　人,15190527.0,15.190527
2025年3月1週,250301,TSE Standard,法　人,-2871005.0,-2.871005
2025年3月1週,250301,TSE Standard,事業法人,1051637.0,1.051637
2025年3月2週,250302,TSE Growth,海外投資家,-15102430.0,-15.10243
2025年3月2週,250302,TSE Growth,個　人,10139928.0,10.139928
2025年3月2週,250302,TSE Growth,法　人,712079.0,0.712079
2025年3月2週,250302,TSE Growth,自己計,4045997.0,4.045997
2025年3月2週,250302,Tokyo & Nagoya,事業法人,97365159.0,97.365159
2025年3月2週,250302,Tokyo & Nagoya,海外投資家,-808595250.0,-808.59525
2025年3月2週,250302,Tokyo & Nagoya,証券会社,12578018.0,12.578018
2025年3月2週,250302,Tokyo & Nagoya,個　人,-130907400.0,-130.9074
2025年3月2週,250302,Tokyo & Nagoya,法　人,28039689.0,28.039689
2025年3月2週,250302,Tokyo & Nagoya,自己計,880216451.0,880.216451
2025年3月2週,250302,TSE Growth,証券会社,173052.0,0.173052
2025年3月2週,250302,Tokyo & Nagoya,投資信託,-83392185.0,-83.392185
2025年3月2週,250302,TSE Growth,投資信託,272786.0,0.272786
2025年3月2週,250302,TSE Prime,事業法人,93202433.0,93.202433
2025年3月2週,250302,TSE Standard,自己計,4438037.0,4.438037
2025年3月2週,250302,TSE Growth,事業法人,-612500.0,-0.6125
2025年3月2週,250302,TSE Prime,投資信託,-76086588.0,-76.086588
2025年3月2週,250302,TSE Prime,証券会社,12501201.0,12.501201
2025年3月2週,250302,TSE Prime,海外投資家,-792161132.0,-792.161132
2025年3月2週,250302,TSE Prime,法　人,36476970.0,36.47697
2025年3月2週,250302,TSE Prime,自己計,871629988.0,871.629988
2025年3月2週,250302,TSE Prime,個　人,-143040469.0,-143.040469
2025年3月2週,250302,TSE Standard,投資信託,-7576729.0,-7.576729
2025年3月2週,250302,TSE Standard,証券会社,-88334.0,-0.088334
2025年3月2週,250302,TSE Standard,海外投資家,-1517819.0,-1.517819
2025年3月2週,250302,TSE Standard,個　人,2210930.0,2.21093
2025年3月2週,250302,TSE Standard,法　人,-9094715.0,-9.094715
2025年3月2週,250302,TSE Standard,事業法人,4782414.0,4.782414
2025年3月3週,250303,TSE Growth,法　人,-386021.0,-0.386021
2025年3月3週,250303,TSE Growth,証券会社,-247136.0,-0.247136
2025年3月3週,250303,TSE Growth,海外投資家,11685558.0,11.685558
2025年3月3週,250303,TSE Growth,個　人,-10196333.0,-10.196333
2025年3月3週,250303,TSE Growth,自己計,-840551.0,-0.840551
2025年3月3週,250303,TSE Growth,投資信託,-727380.0,-0.72738
2025年3月3週,250303,Tokyo & Nagoya,投資信託,-128545708.0,-128.545708
2025年3月3週,250303,Tokyo & Nagoya,証券会社,-9187018.0,-9.187018
2025年3月3週,250303,Tokyo & Nagoya,海外投資家,261144507.0,261.144507
2025年3月3週,250303,Tokyo & Nagoya,個　人,-472934778.0,-472.934778
2025年3月3週,250303,Tokyo & Nagoya,法　人,-188279522.0,-188.279522
2025年3月3週,250303,Tokyo & Nagoya,事業法人,44953858.0,44.953858
2025年3月3週,250303,TSE Growth,事業法人,1769959.0,1.769959
2025年3月3週,250303,Tokyo & Nagoya,自己計,440433177.0,440.433177
2025年3月3週,250303,TSE Standard,法　人,-254051.0,-0.254051
2025年3月3週,250303,TSE Prime,事業法人,40859512.0,40.859512
2025年3月3週,250303,TSE Prime,投資信託,-125853042.0,-125.853042
2025年3月3週,250303,TSE Prime,証券会社,-7918545.0,-7.918545
2025年3月3週,250303,TSE Prime,海外投資家,227275420.0,227.27542
2025年3月3週,250303,TSE Prime,個　人,-445189566.0,-445.189566
2025年3月3週,250303,TSE Prime,法　人,-187244035.0,-187.244035
2025年3月3週,250303,TSE Standard,自己計,6504414.0,6.504414
2025年3月3週,250303,TSE Standard,事業法人,2349955.0,2.349955
2025年3月3週,250303,TSE Standard,投資信託,-1959390.0,-1.95939
2025年3月3週,250303,TSE Standard,証券会社,-1416695.0,-1.416695
2025年3月3週,250303,TSE Standard,海外投資家,21950664.0,21.950664
